population size 1000 with 100 iterations
Generation,Least Performance,Best Performance,Average Performance,Time per Generation
68,28,56,48.032,1.3550450801849365
69,24,56,47.908,1.3473005294799805
70,30,56,48.154,1.3612611293792725
71,28,56,48.192,1.3554296493530273
72,32,56,48.362,1.3609731197357178
73,20,56,47.82,1.3818843364715576
74,28,56,48.132,1.336435317993164
75,24,56,48.094,1.3676786422729492
76,24,56,48.252,1.3169679641723633
77,24,56,48.238,1.3601100444793701
78,28,56,48.374,1.3759956359863281
79,20,56,47.942,1.401728868484497
80,24,56,47.818,1.349034309387207
81,20,56,48.098,1.3673789501190186
82,24,56,47.972,1.3671481609344482
83,20,56,47.842,1.3605008125305176
84,20,56,48.058,1.3607752323150635
85,20,56,48.052,1.3580129146575928
86,28,56,48.15,1.369391918182373
87,28,56,48.136,1.3504886627197266
88,24,56,48.264,1.3628146648406982
89,24,56,48.32,1.3526976108551025
90,24,56,48.046,1.3683714866638184
91,20,56,48.122,1.3669970035552979
92,20,56,48.304,1.3976049423217773
93,20,56,48.134,1.375424861907959
94,12,56,47.938,1.3527758121490479
95,24,56,47.74,1.3387715816497803
96,24,56,48.1,1.4018630981445312
97,20,56,48.134,1.3710622787475586
98,20,56,48.094,1.4984655380249023
99,20,56,48.106,1.4544191360473633
100,20,56,48.4,1.3660054206848145
population size 10 with 100 iterations
Generation,Least Performance,Best Performance,Average Performance,Time per Generation
0,32,52,45.4
1,36,52,45.2,0.005144834518432617
2,36,52,44.8,0.006530284881591797
3,40,52,45.8,0.005329132080078125
4,42,52,46.8,0.006517648696899414
5,34,52,46.8,0.00601649284362793
6,46,54,49.6,0.006789445877075195
7,40,50,48.0,0.005536794662475586
8,36,52,46.4,0.005006074905395508
9,34,52,46.2,0.0054895877838134766
10,34,52,45.8,0.005003929138183594
11,42,50,45.2,0.0045337677001953125
12,40,50,46.2,0.005000591278076172
13,40,52,46.4,0.0055239200592041016
14,44,52,47.0,0.004996299743652344
15,44,50,46.8,0.0055997371673583984
16,36,54,46.2,0.005004167556762695
17,34,54,47.0,0.0045130252838134766
18,38,52,46.8,0.0055158138275146484
19,38,52,45.6,0.0056400299072265625
20,42,54,47.6,0.0040035247802734375
21,42,52,48.0,0.005387544631958008
22,42,54,46.6,0.005013227462768555
23,38,54,46.2,0.004555225372314453
24,20,50,42.8,0.005003452301025391
25,42,52,46.0,0.00551152229309082
26,42,50,45.8,0.0050046443939208984
27,32,50,42.8,0.005539417266845703
28,34,50,45.2,0.005014896392822266
29,34,52,46.0,0.005678892135620117
30,34,52,46.8,0.004996538162231445
31,40,52,45.6,0.004536151885986328
32,40,52,46.6,0.005003690719604492
33,36,54,46.4,0.005515336990356445
34,36,50,46.6,0.005002021789550781
35,40,50,47.2,0.004538059234619141
36,34,54,45.2,0.005014181137084961
37,34,50,44.6,0.00507807731628418
38,42,52,46.8,0.004530429840087891
39,34,50,46.4,0.004512310028076172
40,32,54,46.8,0.004994630813598633
41,34,54,46.6,0.0055370330810546875
42,34,50,45.2,0.005013942718505859
43,44,50,48.4,0.0043032169342041016
44,46,54,50.0,0.005013942718505859
45,46,54,48.8,0.004892110824584961
46,46,52,48.6,0.0050051212310791016
47,42,52,47.6,0.005523681640625
48,42,52,47.4,0.005004405975341797
49,40,52,45.4,0.004616975784301758
50,32,52,44.2,0.0049953460693359375
51,38,50,44.6,0.0045125484466552734
52,40,50,45.8,0.0050029754638671875
53,32,52,42.6,0.0045261383056640625
54,32,52,45.2,0.006008625030517578
55,32,50,45.4,0.005008220672607422
56,32,52,46.2,0.0050029754638671875
57,34,52,45.8,0.004536151885986328
58,40,52,48.0,0.006110191345214844
59,46,52,48.6,0.004517555236816406
60,44,54,49.2,0.005003929138183594
61,38,52,46.6,0.0058934688568115234
62,44,52,47.2,0.003994464874267578
63,42,52,47.8,0.005545377731323242
64,28,52,44.2,0.004995584487915039
65,44,50,48.0,0.004999637603759766
66,38,54,47.4,0.005006551742553711
67,42,50,45.0,0.008108139038085938
68,42,52,44.8,0.005511283874511719
69,42,50,45.4,0.00600743293762207
70,40,50,44.6,0.006671905517578125
71,46,52,47.6,0.0065174102783203125
